lat,lon,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
55.25,4.75,,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.25,,,,,,,,,,,,,,,,,,,,,,,,
55.25,5.75,,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.25,,,,,,,,,,,,,,,,,,,,,,,,
55.25,6.75,,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.25,,,,,,,,,,,,,,,,,,,,,,,,
55.25,7.75,,,,,,,,,,,,,,,,,,,,,,,,
55.25,8.25,342.5070186412719,365.37385689608357,362.75879199939044,340.6015082087794,346.6731663305314,346.54976393075145,346.6476354715644,370.7680728273729,345.88445432967455,346.1593307223285,353.3765270324598,364.0468141549739,366.7012549484308,346.0385042737308,340.3190784160463,365.66952731336374,353.26873293335944,370.83083393398016,300.54253838124987,347.3133773341425,351.0667640853316,351.6405605015513,334.1868617675585,353.9528428631807
55.25,8.75,353.94883966026646,379.23142416333786,375.4507065589926,356.9479727896207,366.688180196443,360.2964219929217,357.1994977591195,381.8614842056441,357.21806177393813,359.3549169670042,362.5902726718139,372.75597407772017,376.456607597217,358.61560478401634,358.5504835557583,374.4709873288956,369.5217996318925,379.41476243890287,311.355023693197,361.05201389002434,360.66212337253205,371.6520082481122,346.961183564422,358.97072305331153
55.25,9.25,357.35932716175677,382.20184152950276,376.4572575016658,362.03599619358664,373.6942705820713,363.7988194303352,359.51294007138006,384.2390670358151,355.0569535955701,357.99556019496686,366.61235892145777,376.2258550967504,376.45517797992665,361.89144649970484,360.481545711393,375.62114105180035,372.82880871025094,380.10102453053037,310.38836351955206,363.29424820571325,357.2735065559927,375.90198396000375,349.0361103622549,359.15187727012784
55.25,9.75,348.65617910774995,373.1821868898676,364.46014063987496,352.044813715105,367.371014771887,355.07354464757503,348.410331624204,378.90116569165195,340.4196535771356,342.0858060213839,361.6468890445675,371.12737087945146,366.1953720235758,355.7005012065436,343.73007377092904,365.81982031180945,366.38796694723226,372.03049967632694,294.0759012598094,352.33129407452685,345.221339111067,366.45095047279216,337.94563926553,345.4462208823916
