state,crop_type,R2,T,P,R
DE1,C0000,0.36643105496468553,0.3740483426581153,0.18453660231633923,0.44141505502554546
DE1,C1100,-0.4390243902439024,0.1388888888888889,0.0,0.8611111111111112
DE1,R1000,-0.4569683615139617,0.4860380062781423,0.2882409258305561,0.22572106789130164
DE1,R2000,-0.0004953773685638652,0.27695081866288745,0.4522006738044486,0.270848507532664
DE2,C0000,0.04696159422506274,0.3745445724072704,0.3170698543550458,0.30838557323768384
DE2,C1100,-0.4390243902439024,0.24603174603174605,0.3928571428571429,0.3611111111111111
DE2,R1000,-0.30316575475163177,0.4691342032249785,0.20691555469943207,0.3239502420755895
DE2,R2000,0.017664883745952764,0.31665003355461796,0.3873901630054336,0.2959598034399484
DE4,C0000,-0.44133011637558983,0.41639947083105455,0.2685496395154759,0.31505088965346956
DE4,C1100,-0.4390243902439024,0.11363636363636363,0.5,0.38636363636363635
DE4,R1000,-0.24575429836354878,0.30617889235341106,0.18361000067494362,0.5102111069716453
DE4,R2000,-0.5706698516006652,0.4602364937329388,0.2987257496512172,0.24103775661584398
DE7,C0000,0.1680538495031647,0.5738452202614984,0.17939439233327403,0.24676038740522757
DE7,C1100,-0.4390243902439024,0.5,0.25,0.25
DE7,R1000,-0.16933759489111622,0.3283878349266193,0.3842309207235064,0.2873812443498742
DE7,R2000,0.27253847272773923,0.34017132661567956,0.3717645154059132,0.28806415797840734
DE8,C0000,-0.41792320167373176,0.49317673402342843,0.1969159541285513,0.30990731184802023
DE8,C1100,-0.4390243902439024,0.5,0.25,0.25
DE8,R1000,-0.22230361387283426,0.32970867444252444,0.13875916501218677,0.5315321605452888
DE8,R2000,-0.2858027540295074,0.3221183568638289,0.40634557064338134,0.27153607249278977
DE9,C0000,0.10734041134661021,0.5105727791305507,0.16186819969411195,0.3275590211753375
DE9,C1100,-0.4390243902439024,0.5,0.16346153846153844,0.33653846153846156
DE9,R1000,-0.26150144530813635,0.3017255485398498,0.26948503989427647,0.4287894115658738
DE9,R2000,0.052388104399109015,0.46540159029182776,0.3871623631382465,0.14743604656992576
DEA,C0000,-0.2110038816597215,0.49704666383004925,0.3236961473118655,0.17925718885808528
DEA,C1100,-0.4390243902439024,0.36363636363636365,0.25,0.38636363636363635
DEA,R1000,-0.32514245210554105,0.36904357402736104,0.3797893477310296,0.25116707824160933
DEA,R2000,-0.2252806708969639,0.3664666992687673,0.3765204555837543,0.2570128451474784
DEB,C0000,0.03430207690221154,0.46283204821898694,0.20496712205936307,0.3322008297216501
DEB,C1100,-0.4390243902439024,0.3333333333333333,0.3333333333333333,0.3333333333333333
DEB,R1000,-0.012625469393646727,0.2569606625933648,0.2530627491203093,0.48997658828632595
DEB,R2000,0.04232196705319058,0.3043194205531031,0.2564531562749687,0.4392274231719282
DEC,C0000,0.16895272869085287,0.6036111647427169,0.19284060531366454,0.20354822994361865
DEC,C1100,-0.4390243902439024,0.3333333333333333,0.41904761904761906,0.24761904761904763
DEC,R1000,-0.7663080657339589,0.3510294282274682,0.27308833409475136,0.37588223767778045
DEC,R2000,1.0,0.0,0.0,0.0
DED,C0000,-0.22404461696657685,0.4040994288845907,0.4130956190705372,0.182804952044872
DED,C1100,-0.4390243902439024,0.33685064935064934,0.2767857142857143,0.38636363636363635
DED,R1000,-0.018245776879776132,0.24412346162633833,0.3434381152073677,0.412438423166294
DED,R2000,0.1449514377527822,0.3535292188976639,0.3115415948992661,0.33492918620307
DEE,C0000,-0.429012020098154,0.5691119747376533,0.20478370270352692,0.2261043225588197
DEE,C1100,-0.4390243902439024,0.15631929046563192,0.4268292682926829,0.41685144124168516
DEE,R1000,-0.3416514290202928,0.5177886192966956,0.34002992644979213,0.14218145425351233
DEE,R2000,-0.1684033059968264,0.26585574827989006,0.29303577791718555,0.4411084738029244
DEF,C0000,-0.44271581722033915,0.4127324637469501,0.2872502081742219,0.30001732807882797
DEF,C1100,-0.4390243902439024,0.48469387755102045,0.2653061224489796,0.25
DEF,R1000,0.11004886047776874,0.16850054088050903,0.39484700349415985,0.436652455625331
DEF,R2000,0.24462084867505063,0.585922838528881,0.22877161715721703,0.1853055443139019
DEG,C0000,-0.5006028605827708,0.4210022261903737,0.4010540548103932,0.1779437189992331
DEG,C1100,-0.4390243902439024,0.34220779220779224,0.2714285714285714,0.38636363636363635
DEG,R1000,-0.11687801327763503,0.3391991014925395,0.26865629142957403,0.3921446070778864
DEG,R2000,0.5079450506565827,0.6236535928536062,0.14775155071353296,0.2285948564328608
