NUTS_ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AL,7046.099999999999,6208.1,13259.3,12436.0,10873.17,10809.57,10827.33,11335.0,13170.42,13000.65,11561.79,13836.69,13998.2,0.0,26630.1,16380.8,24153.76,18024.57,20673.09,21549.239999999998,18224.79,17901.56,17533.1,69.0,185.0
AL0,264.0,264.0,654.0,640.0,329.0,329.0,329.0,329.0,357.0,293.0,265.0,293.0,306.0,0.0,562.0,874.0,544.0,746.0,874.0,755.0,3778.6,10641.5,10695.4,69.0,185.0
AL01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3269.44,3326.84,69.0,185.0
AL02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2358.97,2340.45,69.0,185.0
AL03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4811.38,4875.64,69.0,185.0
AT,43238.49,46083.880000000005,46312.3,42261.82,48724.72,47433.270000000004,44696.39,46362.84,50906.35,48737.74,57880.59,62721.41,57070.69,57080.07,64043.25,54533.51,61469.340000000004,54023.13,52228.520000000004,54771.5,57803.56,56991.31,55577.64,48660.78,557.25
AT1,15440.35,16908.36,16398.75,14896.800000000001,17829.44,17011.920000000002,16084.75,15788.38,18532.73,17285.07,28779.46,31414.22,27314.43,29564.670000000002,32661.36,20616.14,23758.32,19609.95,19451.13,20358.37,21463.670000000002,21346.02,20279.96,1004.0,57.0
AT11,3131.63,3263.29,3193.7,3015.08,3424.66,3380.53,3296.43,3384.26,3646.31,3349.4,5330.0,5587.13,5341.41,4999.75,5732.4,3943.75,4359.66,3893.92,3869.93,3963.29,4012.49,3856.53,3689.0299999999997,1004.0,57.0
AT12,13038.58,14392.25,13957.51,12641.68,15145.96,14400.53,13557.5,13242.17,15653.390000000001,14706.27,24329.84,26697.73,22872.46,25434.98,27793.59,17596.27,20309.93,16649.54,16515.54,17326.0,18384.5,18425.55,17529.42,1004.0,57.0
AT13,906.24,944.32,939.65,931.74,950.31,922.85,922.14,983.15,925.9399999999999,921.29,1127.77,1137.44,1108.61,1137.98,1143.3899999999999,1084.08,1096.68,1074.53,1073.78,1077.06,1074.72,1071.98,1069.44,1004.0,57.0
AT2,5989.63,5651.82,5981.61,5524.8,5858.79,5968.22,5554.49,5951.23,6112.5599999999995,5854.72,9254.14,9688.43,9651.11,8526.26,9586.87,7626.76,7941.26,7721.85,7419.12,7580.650000000001,7857.33,7382.400000000001,7194.7300000000005,1004.0,57.0
AT21,2589.44,2456.64,2578.21,2460.02,2486.12,2510.43,2324.71,2569.17,2590.7200000000003,2530.04,3735.71,3972.77,4037.92,3399.8,4022.89,3485.07,3581.46,3455.52,3298.95,3390.02,3527.43,3347.02,3198.68,1004.0,57.0
AT22,4218.12,4041.88,4249.81,3911.08,4219.46,4303.78,4076.2799999999997,4293.5599999999995,4368.06,4170.4,6522.5,6719.61,6617.22,6130.53,6568.03,5145.7300000000005,5363.75,5270.39,5124.21,5194.7699999999995,5333.93,5039.25,5000.0,1004.0,57.0
AT3,8908.39,8619.25,8848.15,8593.11,8860.05,8837.34,8499.97,9368.34,9385.720000000001,9208.42,14686.03,15579.17,15206.42,14004.189999999999,15972.02,11897.52,12984.869999999999,12423.52,11853.42,12727.06,13357.8,12948.81,13224.28,1004.0,57.0
AT31,6895.0599999999995,6632.4,6853.59,6623.93,7071.44,6981.28,6664.93,7518.2,7571.6,7404.35,12341.69,13547.8,13141.220000000001,12065.03,13994.29,10075.8,11191.13,10696.130000000001,10154.16,11016.4,11632.57,11297.99,11565.22,1004.0,57.0
AT32,1469.17,1498.49,1498.21,1499.02,1438.51,1426.14,1421.0300000000002,1489.69,1370.63,1369.1100000000001,1656.81,1608.87,1608.3700000000001,1587.77,1593.6299999999999,1552.8600000000001,1548.95,1535.34,1529.32,1532.07,1531.79,1513.79,1523.44,1004.0,57.0
AT33,1874.98,1881.47,1889.45,1862.63,1770.01,1836.67,1826.73,1898.8600000000001,1866.48,1860.51,2313.25,2031.93,2067.68,2002.35,2009.99,1953.72,1938.17,1869.26,1846.04,1858.89,1878.67,1833.87,1840.86,1004.0,57.0
AT34,1123.38,1144.3,1144.5,1145.73,1118.17,1130.43,1124.28,1194.09,1114.4,1112.24,1386.35,1402.56,1401.3,1361.11,1386.24,1327.22,1318.78,1334.82,1336.03,1331.7,1326.7,1315.08,1306.71,1004.0,57.0
ATZ,818.0,846.0,846.0,846.0,846.0,846.0,846.0,911.0,846.0,846.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,57.0
ATZZ,818.0,846.0,846.0,846.0,846.0,846.0,846.0,911.0,846.0,846.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,57.0
BA,12607.58,13742.84,14801.09,12521.09,15349.289999999999,15099.37,15104.06,13808.61,15430.9,15283.81,14325.48,14100.02,12841.04,14619.34,13627.0,14142.94,16777.22,14234.51,17371.31,16856.36,18476.78,16009.4,12744.67,308.35,224.0
BE,47589.44,44562.55,48372.9,47724.13,47611.590000000004,45143.98,44847.1,46790.869999999995,46902.22,49665.02,54340.04,56944.44,51777.82,55501.3,39113.43,49836.22,34490.5,52076.64,45503.71,49961.98,38867.61,37935.89,39738.39,35573.7,632.0
BE1,1068.27,1062.8799999999999,1060.94,1060.56,1061.31,1061.92,1062.44,1063.29,1062.15,1062.02,1060.53,1081.95,1127.79,1143.32,1082.23,1070.33,1057.14,1076.22,1080.28,1088.06,1072.83,1073.53,1072.74,1004.0,632.0
BE10,1068.27,1062.8799999999999,1060.94,1060.56,1061.31,1061.92,1062.44,1063.29,1062.15,1062.02,1060.53,1081.95,1127.79,1143.32,1082.23,1070.33,1057.14,1076.22,1080.28,1088.06,1072.83,1073.53,1072.74,1004.0,632.0
BE2,15241.4,14994.16,15712.11,15491.35,16446.11,15404.050000000001,14420.36,15696.44,15886.81,16067.740000000002,15426.87,5514.26,19757.96,21910.0,23169.829999999998,16261.83,13718.67,16734.64,13928.05,15789.26,15675.21,15117.33,15799.09,1004.0,632.0
BE21,2793.87,2817.33,2850.78,2788.79,2916.12,2887.48,2543.22,2861.53,2983.0099999999998,2908.85,2906.75,2132.78,3038.94,3247.2599999999998,3627.9900000000002,2985.23,2293.8900000000003,3201.1400000000003,2526.49,2885.49,3014.23,2762.71,3001.22,1004.0,632.0
BE22,2956.61,2902.43,2952.19,2840.46,3009.52,2904.16,2673.67,2970.16,2940.03,2973.57,2864.04,3167.33,3713.7,3899.93,4070.22,3049.63,2629.42,3158.32,2731.74,3001.41,2921.63,2957.29,3024.3,1004.0,632.0
BE23,4571.18,4546.8,4665.45,4670.42,4877.68,4722.61,4434.98,4703.93,4752.18,4885.43,4652.29,4487.26,5328.68,6058.8,6026.48,4666.34,4104.2,4744.67,4027.31,4589.44,4566.54,4500.45,4559.6900000000005,1004.0,632.0
BE24,3310.94,3237.38,3325.44,3242.88,3436.65,3236.7,3130.42,3238.95,3230.99,3326.84,3178.21,4225.2,4188.42,4409.74,4653.68,3391.78,2997.53,3517.44,3096.58,3315.58,3230.13,3140.55,3228.1,1004.0,632.0
BE25,5830.93,5710.32,6138.15,6168.31,6426.15,5872.54,5857.96,6141.79,6200.12,6192.7300000000005,6044.99,4203.07,7707.19,8477.94,8715.56,6184.97,5709.66,6129.19,5562.06,6013.33,5958.7699999999995,5772.37,6001.82,1004.0,632.0
BE3,14815.97,14201.1,15290.449999999999,15137.86,15445.42,14578.11,13880.21,14857.39,15401.68,16097.03,14094.53,4724.94,21681.86,22521.45,23999.52,16189.51,14116.98,16633.94,15400.18,16125.76,15679.47,15168.73,15997.09,1004.0,632.0
BE31,3100.11,2879.74,3025.05,2931.13,2897.52,2828.66,2919.95,2899.39,3064.38,3168.82,2886.58,3267.57,4323.76,4441.86,4530.4,3176.94,2885.7999999999997,3235.44,3044.94,3099.93,3032.82,2980.5,3070.5699999999997,1004.0,632.0
BE32,6712.97,6346.8,6951.12,7007.110000000001,7092.94,6748.570000000001,6358.65,6744.05,6864.33,7187.02,6444.7300000000005,4368.43,9491.5,9792.28,10286.56,7095.7699999999995,6188.14,7365.07,6695.93,7106.08,6871.57,6662.66,6919.63,1004.0,632.0
BE33,3395.45,3426.7799999999997,3540.88,3499.34,3628.03,3414.21,3307.65,3540.65,3596.05,3737.08,3322.18,3656.26,4795.67,5071.33,5334.55,3745.4900000000002,3353.72,3913.35,3582.58,3704.78,3653.9,3531.63,3745.96,1004.0,632.0
BE34,1900.73,1899.6599999999999,1933.01,1935.83,1971.7,1864.38,1784.1399999999999,1927.45,2003.28,2012.16,1906.11,1642.24,1966.78,2014.1299999999999,2100.26,1950.1,1925.1100000000001,1973.01,1968.17,1976.78,1994.22,1983.92,2044.8,1004.0,632.0
BE35,3926.5299999999997,3867.7200000000003,4060.0,3984.04,4075.35,3942.3,3729.7000000000003,3965.87,4094.23,4211.36,3754.7400000000002,5034.06,5323.71,5386.75,5671.83,4237.31,3780.33,4163.17,4124.53,4254.18,4143.08,4026.09,4232.26,1004.0,632.0
BEZ,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1046.0,967.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,632.0
BEZZ,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1055.0,1046.0,967.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,632.0
BG,53734.78,59267.95,63489.490000000005,45262.17,64623.17,46488.18,48665.32,44627.32,67763.36,64793.51,71844.47,71334.07,68757.31999999999,81282.52,79970.99,76969.77,81080.01,85369.57,85296.73,88433.62,75907.79000000001,91481.93,83747.69,33294.61,1473.0
BG1,976.0,976.0,976.0,795.0,990.0,990.0,948.0,990.0,990.0,990.0,1069.0,990.0,981.0,981.0,959.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,402.0,101.0
BG3,976.0,976.0,976.0,795.0,990.0,990.0,948.0,18213.89,14133.96,14240.37,34474.96,40105.53,34748.41,34969.81,36206.119999999995,33703.03,44969.56,39873.229999999996,44067.29,47562.31,34528.06,42406.65,37671.54,402.0,101.0
BG31,976.0,976.0,976.0,795.0,990.0,990.0,948.0,5175.67,4853.59,4646.1,10597.43,11938.15,10008.98,10553.71,11154.03,10277.47,9942.94,11961.83,13367.16,10826.4,11919.85,12458.44,10752.09,402.0,101.0
BG32,976.0,976.0,976.0,795.0,990.0,990.0,948.0,5510.860000000001,3986.66,4186.63,9571.69,10903.28,9260.73,9714.66,9446.99,9318.949999999999,11590.33,10267.789999999999,11469.789999999999,9699.47,9762.88,11345.289999999999,10064.09,402.0,101.0
BG33,976.0,976.0,976.0,795.0,990.0,990.0,948.0,6004.68,4317.79,4429.52,10226.14,12011.23,10414.28,10222.26,10471.57,9861.789999999999,9782.65,12220.78,13146.73,13022.83,8401.88,12204.99,11179.85,402.0,101.0
BG34,976.0,976.0,976.0,795.0,990.0,990.0,948.0,4492.96,3945.91,3947.93,7325.18,8307.11,8007.77,7420.01,8010.2,7256.1900000000005,9897.53,8434.9,9095.49,10149.77,7454.39,9409.94,8687.470000000001,402.0,101.0
BG4,976.0,976.0,976.0,795.0,990.0,990.0,948.0,5220.41,4839.36,4695.21,7067.63,8432.94,7094.38,6959.05,6788.29,6834.81,9524.07,7148.55,8431.61,9451.85,8554.45,8871.25,8593.57,402.0,101.0
BG41,2690.8,2989.14,3396.1,2911.62,990.0,990.0,948.0,2530.91,2613.65,2498.94,3107.18,3383.58,3125.48,3112.82,3042.65,3190.96,3848.7,3131.29,3683.57,3425.34,3616.12,3669.81,3664.2400000000002,402.0,101.0
BG42,976.0,976.0,976.0,795.0,990.0,990.0,948.0,3679.3900000000003,3215.5099999999998,3186.46,5029.28,6039.22,4949.89,4827.26,4704.47,4647.89,6679.4,5021.29,5752.03,5317.86,5940.82,6205.42,5933.36,402.0,101.0
BGZ,976.0,976.0,976.0,795.0,990.0,990.0,948.0,990.0,990.0,990.0,1069.0,990.0,981.0,981.0,959.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,402.0,101.0
BGZZ,976.0,976.0,976.0,795.0,990.0,990.0,948.0,990.0,990.0,990.0,1069.0,990.0,981.0,981.0,959.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,402.0,101.0
CH,0.0,0.0,0.0,0.0,0.0,3568.9800000000005,13270.55,16237.17,15806.66,8889.13,13307.210000000001,14919.96,14746.55,9049.380000000001,16329.04,15184.7,17105.16,19398.56,18391.16,22171.62,22051.95,26189.14,21986.24,20910.28,0.0
CH0,0.0,0.0,0.0,0.0,0.0,3568.9800000000005,3930.77,4036.94,4029.6000000000004,3838.92,3912.19,3870.8700000000003,3996.78,3823.4700000000003,4519.24,14634.75,15214.609999999999,16367.16,15649.28,24110.62,16832.88,12758.48,1004.0,1004.0,0.0
CH01,0.0,0.0,0.0,0.0,0.0,630.28,995.63,1104.31,1103.12,916.82,997.66,959.25,1089.3,918.68,1619.02,3363.5,3475.7200000000003,3742.18,3584.25,4660.17,3777.17,3142.89,1004.0,1004.0,0.0
CH02,0.0,0.0,0.0,0.0,0.0,1131.44,1496.77,1606.55,1604.15,1416.9199999999998,1496.81,1458.65,1589.09,1419.4,2120.2599999999998,6178.99,6392.19,6813.86,6533.37,10397.86,7133.65,5403.17,1004.0,1004.0,0.0
CH03,0.0,0.0,0.0,0.0,0.0,220.47,587.46,698.3,697.77,512.4,594.75,557.54,689.05,519.6999999999999,1221.36,2354.17,2423.03,2541.63,2469.01,3420.78,2592.44,2136.37,1004.0,1004.0,0.0
CH04,0.0,0.0,0.0,0.0,0.0,193.17999999999998,560.28,670.82,669.96,484.34,566.53,529.78,661.4300000000001,492.34999999999997,1194.78,2193.94,2254.9,2367.06,2274.05,2947.06,2340.96,1981.6599999999999,1004.0,1004.0,0.0
CH05,0.0,0.0,0.0,0.0,0.0,904.65,1270.04,1380.3,1378.34,1192.38,1272.9,1234.42,1364.9,1194.78,1894.71,3178.98,3241.28,3377.61,3299.23,4275.48,3439.66,2943.61,1004.0,1004.0,0.0
CH06,0.0,0.0,0.0,0.0,0.0,405.86,772.88,884.36,884.38,699.44,782.33,745.36,877.42,708.3299999999999,1409.18,2272.09,2331.59,2383.27,2352.32,3291.96,2450.36,2067.09,1004.0,1004.0,0.0
CH07,0.0,0.0,0.0,0.0,0.0,83.05,449.64,560.29,559.89,374.58,457.21999999999997,419.84000000000003,551.58,382.25,1083.97,1117.26,1119.86,1111.5,1106.96,1141.28,1122.65,1107.76,1004.0,1004.0,0.0
CY,2512.51,2786.29,2832.69,3084.4,3252.14,3093.13,2966.82,2939.56,2333.79,2637.31,2746.06,2793.68,2858.18,2634.21,2332.09,2784.89,2400.17,2887.27,2933.43,3163.91,3118.18,3090.79,3132.52,2555.2,539.46
CY0,2061.54,2320.9,2402.19,2547.97,2646.9700000000003,2550.64,2435.9,2460.47,2005.76,2218.6,2216.01,2264.87,2282.45,2091.44,1853.36,2160.08,1004.0,1004.0,1004.0,1004.0,2501.91,2434.72,2512.56,1992.15,539.46
CY00,2061.54,2320.9,2402.19,2547.97,2646.9700000000003,2550.64,2435.9,2460.47,2005.76,2218.6,2216.01,2264.87,2282.45,2091.44,1853.36,2160.08,1004.0,1004.0,1004.0,1004.0,2501.91,2434.72,2512.56,1992.15,539.46
CYZ,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,516.0
CYZZ,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,516.0
CZ,96271.81,98833.51,87528.47,74190.38,95696.56,89293.27,81003.6,83385.55,88580.47,86688.13,81176.66,90702.63,82071.83,87932.75,98975.02,87470.46,95887.78,95662.93000000001,89425.55,95800.04,100678.92,100535.45,98741.19,86374.66,1362.83
CZ0,48521.82,51622.99,47262.98,41962.92,53348.85,34416.88,31444.48,32826.94,50547.11,49226.57,67693.93000000001,77068.86,70218.15,74746.83,84205.69,32870.54,34511.31,33733.24,30957.149999999998,32013.61,32988.909999999996,33467.64,33595.0,1004.0,76.0
CZ01,1311.06,1346.79,1263.4,1218.8600000000001,1251.01,1183.31,1194.13,1191.77,1274.51,1274.45,1212.85,1213.9,1161.11,1219.43,1235.15,1155.15,1160.96,1150.83,1129.69,1132.08,1124.5,1131.09,1131.7,1004.0,76.0
CZ02,9304.16,10162.58,9353.779999999999,8504.539999999999,10723.98,7172.17,6607.06,6923.89,10332.86,10112.95,7155.09,9793.58,7630.49,9854.48,10524.73,7494.8,7756.2300000000005,7693.81,6896.650000000001,7149.4,7273.410000000001,7470.29,7554.61,1004.0,76.0
CZ03,9318.66,9578.06,8799.31,7678.28,9828.4,6122.91,5637.7300000000005,6104.86,9233.869999999999,8931.27,5968.71,7850.29,6248.71,7947.26,8351.33,5941.13,6027.2300000000005,6039.67,5836.53,5932.28,6087.2699999999995,5961.26,6152.29,1004.0,76.0
CZ04,4221.42,4474.65,4189.11,3920.07,4867.31,3554.68,3329.65,3425.9,4732.68,4465.37,3449.25,4432.54,3588.9700000000003,4556.55,4749.6900000000005,3587.49,3700.85,3713.28,3418.61,3525.39,3560.9,3631.58,3618.94,1004.0,76.0
CZ05,8030.3,8270.960000000001,7776.51,7086.13,8584.08,5868.08,5435.12,5728.84,8312.0,8111.71,5836.63,7758.63,6385.62,7802.78,8299.04,6089.71,6365.93,6409.89,5799.38,6013.9,6129.69,6257.97,6330.54,1004.0,76.0
CZ06,10797.15,12169.93,11006.61,9717.71,12198.01,7795.84,7082.57,7263.53,11799.46,11542.6,7700.4,10893.68,7788.65,10930.08,11158.11,7749.13,8307.55,7617.96,7353.83,7591.38,7986.92,7998.98,7809.5599999999995,1004.0,76.0
CZ07,6865.41,7075.0599999999995,6480.96,5944.47,7019.54,5073.58,4703.72,4654.94,6556.16,6515.58,4788.5199999999995,6466.32,5218.4,6458.08,6798.49,5057.76,5276.93,5207.85,4795.55,4946.87,5056.51,5193.88,5148.26,1004.0,76.0
CZ08,3713.13,3590.54,3514.28,3187.74,3666.98,2832.32,2704.86,2742.93,3532.78,3504.94,2789.7200000000003,3436.75,2951.02,3377.89,3564.59,2823.5,2943.79,2927.9900000000002,2755.04,2750.43,2797.7599999999998,2850.69,2877.24,1004.0,76.0
CZZ,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,76.0
CZZZ,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,76.0
DE,452554.66,457884.49,432212.55,396314.6,482409.2,457509.26,434855.18,451745.46,490963.96,503609.32,549342.62,598315.57,604862.39,573748.77,661051.78,594888.0499999999,595818.71,630924.84,520631.21,580243.33,601013.11,622150.62,552887.63,534702.33,6016.2
DE1,21596.9,20923.5,21214.4,18894.2,22268.7,17492.1,16516.8,21910.5,23116.7,23717.5,28734.77,30276.8,30903.73,30506.43,33558.62,24111.55,24181.43,26864.969999999998,24506.94,26175.02,24823.1,24926.67,23910.21,1004.0,48.0
DE11,1069.0,1069.0,1069.0,7994.8,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE12,1069.0,1069.0,1069.0,3788.0000000000005,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE13,1069.0,1069.0,1069.0,4021.5,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE14,1069.0,1069.0,1069.0,6297.5,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE2,57090.9,54591.1,55868.6,49016.6,61455.1,40440.1,54550.6,58919.5,59994.0,61625.1,73382.64,81592.6,83735.41,75865.31,91054.73,62592.46,67804.2,71738.66,63602.34,67024.17,69452.94,68871.24,61780.670000000006,1004.0,48.0
DE21,1069.0,1069.0,1069.0,12243.7,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE22,1069.0,1069.0,1069.0,10885.1,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE23,1069.0,1069.0,1069.0,6955.4,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE24,1069.0,1069.0,1069.0,4814.4,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE25,1069.0,1069.0,1069.0,5921.6,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE26,1069.0,1069.0,1069.0,6684.5,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE27,1069.0,1069.0,1069.0,7925.5,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE3,1074.8,1074.5,1074.5,1074.6,1074.6,1076.0,1076.0,1075.9,1075.9,1075.9,1076.6200000000001,1078.1,1078.2,1077.1,1077.1,1011.4,1010.1,1010.1,1010.1,1010.1,1010.4,1010.4,1010.4,1004.0,48.0
DE30,1074.8,1074.5,1074.5,1074.6,1074.6,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE4,16166.7,18764.1,17131.4,13377.0,19493.9,14780.6,15892.7,17611.8,18485.899999999998,20136.4,24591.53,24358.6,27158.1,28163.03,31431.75,22894.79,22939.04,24385.87,18603.15,20975.5,22505.93,23534.39,20181.87,1004.0,48.0
DE40,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE5,1089.7,1089.2,1089.2,1090.2,1090.2,1089.2,1089.2,1089.1,1089.1,1089.1,1090.81,1091.9,1092.0,1093.1,1093.1,1027.1,1023.9,1023.9,1023.9,1023.9,1022.7,1022.7,1022.7,1004.0,48.0
DE50,1089.7,1089.2,1089.2,1090.2,1090.2,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE6,1106.0,1106.4,1106.4,1106.3,1092.6,1090.1,1105.5,1106.0,1106.0,1106.0,1118.83,1118.0,1118.6,1119.9,1119.9,1051.8,1051.5,1051.4,1051.4,1051.4,1048.9,1048.9,1048.9,1004.0,48.0
DE60,1106.0,1106.4,1106.4,1106.3,1092.6,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE7,12660.8,12749.2,12040.7,11705.4,13436.0,10442.1,12672.1,12429.0,13470.8,13686.3,17710.29,17877.7,17293.13,18459.63,19558.45,13937.5,14000.13,14936.98,12771.34,14682.53,13684.28,14164.87,13410.83,1004.0,48.0
DE71,1069.0,1069.0,1069.0,4687.2,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE72,1069.0,1069.0,1069.0,3531.6,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
DE73,1069.0,1069.0,1069.0,5624.2,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,48.0
